,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family-size
219,0,2,male,0.5294117647058824,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
220,1,3,male,0.2549019607843137,0,0,0.14248846816931526,S,Third,man,True,Southampton,yes,True,0
221,0,2,male,0.47058823529411764,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
222,0,3,male,0.9411764705882353,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
225,0,3,male,0.37254901960784315,0,0,0.16549902824634752,S,Third,man,True,Southampton,no,True,0
226,1,2,male,0.3137254901960784,0,0,0.18585452369910685,S,Second,man,True,Southampton,yes,True,0
227,0,3,male,0.3431372549019608,0,0,0.12832812350652614,S,Third,man,True,Southampton,no,True,0
228,0,2,male,0.2941176470588235,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
229,0,3,female,0.5235121107266435,3,1,0.4507715617798137,S,Third,woman,False,Southampton,no,False,4
231,0,3,male,0.5098039215686274,0,0,0.1376208496914815,S,Third,man,True,Southampton,no,True,0
233,1,3,female,0.0392156862745098,4,2,0.5555722726291158,S,Third,child,False,Southampton,yes,False,6
234,0,2,male,0.4117647058823529,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
235,0,3,female,0.5235121107266435,0,0,0.13363825275507207,S,Third,woman,False,Southampton,no,True,0
236,0,2,male,0.803921568627451,1,0,0.46021120154064554,S,Second,man,True,Southampton,no,False,1
237,1,2,female,0.09803921568627451,0,2,0.4646363092477671,S,Second,child,False,Southampton,yes,False,2
238,0,2,male,0.3137254901960784,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
239,0,2,male,0.5882352941176471,0,0,0.21727278841967015,S,Second,man,True,Southampton,no,True,0
240,0,3,female,0.5235121107266435,1,0,0.25584556728110763,C,Third,woman,False,Cherbourg,no,False,1
242,0,2,male,0.5098039215686274,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
243,0,3,male,0.37254901960784315,0,0,0.12611556965296536,S,Third,man,True,Southampton,no,True,0
244,0,3,male,0.5294117647058824,0,0,0.12788561273581397,C,Third,man,True,Cherbourg,no,True,0
246,0,3,female,0.4313725490196078,0,0,0.1376208496914815,S,Third,woman,False,Southampton,no,True,0
247,1,2,female,0.4117647058823529,0,2,0.2566562470130523,S,Second,woman,False,Southampton,yes,False,2
248,1,1,male,0.6666666666666666,1,1,0.9302319818464382,S,First,man,True,Southampton,yes,False,2
249,0,2,male,1.0,1,0,0.46021120154064554,S,Second,man,True,Southampton,no,False,1
250,0,3,male,0.5235121107266435,0,0,0.12832812350652614,S,Third,man,True,Southampton,no,True,0
251,0,3,female,0.5098039215686274,1,1,0.1851907575430386,S,Third,woman,False,Southampton,no,False,2
253,0,3,male,0.5294117647058824,1,0,0.2849769363386305,S,Third,man,True,Southampton,no,False,1
254,0,3,female,0.7450980392156863,0,2,0.35776995812078066,S,Third,woman,False,Southampton,no,False,2
255,1,3,female,0.5098039215686274,0,2,0.2698572283249374,C,Third,woman,False,Cherbourg,yes,False,2
259,1,2,female,0.9215686274509803,0,1,0.46021120154064554,S,Second,woman,False,Southampton,yes,False,1
261,1,3,male,0.0,4,2,0.5555722726291158,S,Third,child,False,Southampton,yes,False,6
263,0,1,male,0.7254901960784313,0,0,0.0,S,First,man,True,Southampton,no,True,0
264,0,3,female,0.5235121107266435,0,0,0.13717833892076933,Q,Third,woman,False,Queenstown,no,True,0
265,0,2,male,0.6470588235294117,0,0,0.18585452369910685,S,Second,man,True,Southampton,no,True,0
266,0,3,male,0.2549019607843137,4,1,0.7024858485055526,S,Third,man,True,Southampton,no,False,5
267,1,3,male,0.4313725490196078,1,0,0.1376208496914815,S,Third,man,True,Southampton,yes,False,1
270,0,1,male,0.5235121107266435,0,0,0.5487133556830773,S,First,man,True,Southampton,no,True,0
271,1,3,male,0.4313725490196078,0,0,0.0,S,Third,man,True,Southampton,yes,True,0
272,1,2,female,0.7450980392156863,0,1,0.34515840115548413,S,Second,woman,False,Southampton,yes,False,1
273,0,1,male,0.6666666666666666,0,1,0.525702795606045,C,First,man,True,Cherbourg,no,False,1
276,0,3,female,0.8235294117647058,0,0,0.13717833892076933,S,Third,woman,False,Southampton,no,True,0
277,0,2,male,0.5235121107266435,0,0,0.0,S,Second,man,True,Southampton,no,True,0
278,0,3,male,0.07843137254901962,4,1,0.5155250478796654,Q,Third,child,False,Queenstown,no,False,5
279,1,3,female,0.6274509803921569,1,1,0.3584337242768489,S,Third,woman,False,Southampton,yes,False,2
281,0,3,male,0.4901960784313726,0,0,0.1390227238130976,S,Third,man,True,Southampton,no,True,0
282,0,3,male,0.2549019607843137,0,0,0.16815409287062047,S,Third,man,True,Southampton,no,True,0
283,1,3,male,0.3137254901960784,0,0,0.14248846816931526,S,Third,man,True,Southampton,yes,True,0
284,0,1,male,0.5235121107266435,0,0,0.46021120154064554,S,First,man,True,Southampton,no,True,0
285,0,3,male,0.5882352941176471,0,0,0.15332998205176313,C,Third,man,True,Cherbourg,no,True,0
286,1,3,male,0.5294117647058824,0,0,0.16815409287062047,S,Third,man,True,Southampton,yes,True,0
287,0,3,male,0.37254901960784315,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
288,1,2,male,0.7647058823529411,0,0,0.23010560077032277,S,Second,man,True,Southampton,yes,True,0
289,1,3,female,0.37254901960784315,0,0,0.13717833892076933,Q,Third,woman,False,Queenstown,yes,True,0
292,0,2,male,0.6470588235294117,0,0,0.22789304691676196,C,Second,man,True,Cherbourg,no,True,0
293,0,3,female,0.4117647058823529,0,0,0.15664881283210433,S,Third,woman,False,Southampton,no,True,0
294,0,3,male,0.4117647058823529,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
296,0,3,male,0.40196078431372545,0,0,0.12795995454529363,C,Third,man,True,Cherbourg,no,True,0
298,1,1,male,0.5235121107266435,0,0,0.5398631402688342,S,First,man,True,Southampton,yes,True,0
301,1,3,male,0.5235121107266435,2,0,0.411535016762308,Q,Third,man,True,Queenstown,yes,False,2
302,0,3,male,0.3137254901960784,0,0,0.0,S,Third,man,True,Southampton,no,True,0
303,1,2,female,0.5235121107266435,0,0,0.2186003207318066,Q,Second,woman,False,Queenstown,yes,True,0
308,0,2,male,0.5294117647058824,1,0,0.4248103398836728,C,Second,man,True,Cherbourg,no,False,1
312,0,2,female,0.4509803921568627,1,1,0.46021120154064554,S,Second,woman,False,Southampton,no,False,2
314,0,2,male,0.7843137254901961,1,1,0.4646363092477671,S,Second,man,True,Southampton,no,False,2
315,1,3,female,0.4509803921568627,0,0,0.1390227238130976,S,Third,woman,False,Southampton,yes,True,0
316,1,2,female,0.4117647058823529,1,0,0.46021120154064554,S,Second,woman,False,Southampton,yes,False,1
317,0,2,male,1.0,0,0,0.24780603159880912,S,Second,man,True,Southampton,no,True,0
321,0,3,male,0.47058823529411764,0,0,0.13975906173556266,S,Third,man,True,Southampton,no,True,0
322,1,2,female,0.5294117647058824,0,0,0.2186003207318066,Q,Second,woman,False,Queenstown,yes,True,0
323,1,2,female,0.37254901960784315,1,1,0.5133124940261046,S,Second,woman,False,Southampton,yes,False,2
327,1,2,female,0.6470588235294117,0,0,0.23010560077032277,S,Second,woman,False,Southampton,yes,True,0
328,1,3,female,0.5490196078431372,1,1,0.3633013427546826,S,Third,woman,False,Southampton,yes,False,2
330,1,3,female,0.5235121107266435,2,0,0.411535016762308,Q,Third,woman,False,Queenstown,yes,False,2
331,0,1,male,0.8333333333333333,0,0,0.5044622786118614,S,First,man,True,Southampton,no,True,0
333,0,3,male,0.2549019607843137,2,0,0.3186077549127546,S,Third,man,True,Southampton,no,False,2
338,1,3,male,0.8235294117647058,0,0,0.14248846816931526,S,Third,man,True,Southampton,yes,True,0
339,0,1,male,0.8235294117647058,0,0,0.628365294411266,S,First,man,True,Southampton,no,True,0
342,0,2,male,0.4901960784313726,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
344,0,2,male,0.6470588235294117,0,0,0.23010560077032277,S,Second,man,True,Southampton,no,True,0
345,1,2,female,0.4117647058823529,0,0,0.23010560077032277,S,Second,woman,False,Southampton,yes,True,0
346,1,2,female,0.7254901960784313,0,0,0.23010560077032277,S,Second,woman,False,Southampton,yes,True,0
347,1,3,female,0.5235121107266435,1,0,0.2849769363386305,S,Third,woman,False,Southampton,yes,False,1
348,1,3,male,0.0,1,1,0.28143685017293324,S,Third,child,False,Southampton,yes,False,2
349,0,3,male,0.7647058823529411,0,0,0.15332998205176313,S,Third,man,True,Southampton,no,True,0
350,0,3,male,0.39215686274509803,0,0,0.1632864743927867,S,Third,man,True,Southampton,no,True,0
351,0,1,male,0.5235121107266435,0,0,0.6195150789970228,S,First,man,True,Southampton,no,True,0
352,0,3,male,0.23529411764705882,1,1,0.12795995454529363,C,Third,child,False,Cherbourg,no,False,2
353,0,3,male,0.4313725490196078,1,0,0.31506766874705733,S,Third,man,True,Southampton,no,False,1
356,1,1,female,0.37254901960784315,0,1,0.9735236955667501,S,First,woman,False,Southampton,yes,False,1
357,0,2,female,0.6862745098039216,0,0,0.23010560077032277,S,Second,woman,False,Southampton,no,True,0
360,0,3,male,0.7254901960784313,1,4,0.4938420201147696,S,Third,man,True,Southampton,no,False,5
361,0,2,male,0.5098039215686274,1,0,0.4906701029103049,C,Second,man,True,Cherbourg,no,False,1
362,0,3,female,0.8235294117647058,0,1,0.25584556728110763,C,Third,woman,False,Cherbourg,no,False,1
363,0,3,male,0.6274509803921569,0,0,0.12478803734082888,S,Third,man,True,Southampton,no,True,0
365,0,3,male,0.5294117647058824,0,0,0.12832812350652614,S,Third,man,True,Southampton,no,True,0
367,1,3,female,0.5235121107266435,0,0,0.12795995454529363,C,Third,woman,False,Cherbourg,yes,True,0
370,1,1,male,0.4313725490196078,1,0,0.9813419758636925,C,First,man,True,Cherbourg,yes,False,1
371,0,3,male,0.2941176470588235,1,0,0.11497845857568173,S,Third,man,True,Southampton,no,False,1
372,0,3,male,0.3137254901960784,0,0,0.14248846816931526,S,Third,man,True,Southampton,no,True,0
374,0,3,female,0.0,3,1,0.37303657971035015,S,Third,child,False,Southampton,no,False,4
376,1,3,female,0.37254901960784315,0,0,0.12832812350652614,S,Third,woman,False,Southampton,yes,True,0
378,0,3,male,0.3333333333333333,0,0,0.07102297869930155,C,Third,man,True,Cherbourg,no,True,0
379,0,3,male,0.3137254901960784,0,0,0.1376208496914815,S,Third,man,True,Southampton,no,True,0
382,0,3,male,0.5686274509803921,0,0,0.14027591431575445,S,Third,man,True,Southampton,no,True,0
383,1,1,female,0.6274509803921569,1,0,0.9204224030812911,S,First,woman,False,Southampton,yes,False,1
388,0,3,male,0.5235121107266435,0,0,0.13681016995953682,Q,Third,man,True,Queenstown,no,True,0
389,1,2,female,0.2745098039215686,0,0,0.2124051699418364,C,Second,woman,False,Cherbourg,yes,True,0
391,1,3,male,0.3529411764705882,0,0,0.137989018652714,S,Third,man,True,Southampton,yes,True,0
